Reference,Group,Genus,Species,ID,Habitat,Volume,Temperature,Growth
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,45070,22,1.72
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,52238,25,2.35
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,41998,27,1.97
Weisse 2004,Ciliates,Meseres,Meseres corlissi,GGG,Freshwater,38670,30,1.92
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis acuminata,BV,Marine,16340,15,1.31
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis acuminata,BV,Marine,15981,20,1.53
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis acuminata,BV,Marine,15509,25,2.03
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis vasculum,BW,Marine,168679,5,0.54
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis vasculum,BW,Marine,163755,10,0.88
Verity 1985,Ciliates,Tintinnopsis,Tintinnopsis vasculum,BW,Marine,157302,15,1.09
Montagnes and Lessard 1999,Ciliates,Strombidinopsis,Strombidinopsis multiauris,BX,Marine,137229,5,-0.05
Montagnes and Lessard 1999,Ciliates,Strombidinopsis,Strombidinopsis multiauris,BX,Marine,137229,5,-0.05
Montagnes and Lessard 1999,Ciliates,Strombidinopsis,Strombidinopsis multiauris,BX,Marine,137229,5,-0.11
